GUS,DistrictGAID,ProvinceGAID,CountryGAID,CommuneName,DistrictName,ProvinceName,GAID,OwnerGAID,Name
0697923,921,10,1,Błaszki,sieradzki,Łódzkie,161411,1940,Aleksandria
0414285,927,10,1,Ozorków,zgierski,Łódzkie,103940,2008,Aleksandria
0120709,1006,14,1,Nowe Miasto,płoński,Mazowieckie,114215,2844,Aleksandria
0734601,976,14,1,Puszcza Mariańska,żyrardowski,Mazowieckie,107411,2537,Aleksandria
0194843,1210,30,1,Brzeziny,kaliski,Wielkopolskie,125331,4844,Aleksandria
0135214,5,24,1,Konopiska,częstochowski,Śląskie,155680,407,Aleksandria Druga
0105420,1073,6,1,Rejowiec,chełmski,Lubelskie,123409,3523,Aleksandria Krzywowolska
0105443,1073,6,1,Rejowiec,chełmski,Lubelskie,123419,3523,Aleksandria Niedziałowska
0135220,5,24,1,Konopiska,częstochowski,Śląskie,155679,407,Aleksandria Pierwsza
0541380,1109,10,1,Kleszczów,bełchatowski,Łódzkie,128178,3877,Aleksandrów
0711468,1109,10,1,Rusiec,bełchatowski,Łódzkie,128238,3879,Aleksandrów
0580090,1110,10,1,Żychlin,kutnowski,Łódzkie,128656,3898,Aleksandrów
0577194,1110,10,1,Strzelce,kutnowski,Łódzkie,128637,3895,Aleksandrów
0534368,917,10,1,Aleksandrów,piotrkowski,Łódzkie,101452,1888,Aleksandrów
0541078,919,10,1,Kamieńsk,radomszczański,Łódzkie,102197,1917,Aleksandrów
0723247,920,10,1,Biała Rawska,rawski,Łódzkie,102469,1932,Aleksandrów
0554448,923,10,1,Ujazd,tomaszowski,Łódzkie,103344,1972,Aleksandrów
0885470,1072,6,1,Aleksandrów,biłgorajski,Lubelskie,123017,3490,Aleksandrów
0791970,1077,6,1,Gościeradów,kraśnicki,Lubelskie,108966,3556,Aleksandrów
0679322,1081,6,1,Łuków,łukowski,Lubelskie,109718,3612,Aleksandrów
0689177,1081,6,1,Stanin,łukowski,Lubelskie,109748,3614,Aleksandrów
0642106,954,14,1,Wyśmierzyce,białobrzeski,Mazowieckie,106324,2308,Aleksandrów
0678274,956,14,1,Łaskarzew,garwoliński,Mazowieckie,106662,2325,Aleksandrów
0574391,957,14,1,Sanniki,gostyniński,Mazowieckie,106958,2341,Aleksandrów
0631290,959,14,1,Pniewy,grójecki,Mazowieckie,97868,2365,Aleksandrów
0628537,960,14,1,Magnuszew,kozienicki,Mazowieckie,98096,2376,Aleksandrów
0005569,961,14,1,Nieporęt,legionowski,Mazowieckie,98147,2380,Aleksandrów
0636235,962,14,1,Sienno,lipski,Mazowieckie,98342,2391,Aleksandrów
0673466,965,14,1,Jakubów,miński,Mazowieckie,98871,2420,Aleksandrów
0001123,967,14,1,Czosnów,nowodworski,Mazowieckie,99312,2441,Aleksandrów
0001502,971,14,1,Góra Kalwaria,piaseczyński,Mazowieckie,113392,2804,Aleksandrów
0625332,1011,14,1,Jedlnia-Letnisko,radomski,Mazowieckie,115167,2892,Aleksandrów
0566003,1014,14,1,Iłów,sochaczewski,Mazowieckie,116020,2926,Aleksandrów
0736505,1014,14,1,Rybno,sochaczewski,Mazowieckie,116113,2929,Aleksandrów
0615701,1016,14,1,Chlewiska,szydłowiecki,Mazowieckie,116443,2943,Aleksandrów
0739202,976,14,1,Wiskitki,żyrardowski,Mazowieckie,107496,6264,Aleksandrów
0143260,989,16,1,Praszka,oleski,Opolskie,108275,2647,Aleksandrów
0134806,5,24,1,Koniecpol,częstochowski,Śląskie,145688,4399,Aleksandrów
0141640,7,24,1,Panki,kłobucki,Śląskie,1113,606,Aleksandrów
0266778,1170,26,1,Sędziszów,jędrzejowski,Świętokrzyskie,136750,4451,Aleksandrów
0262600,1176,26,1,Pińczów,pińczowski,Świętokrzyskie,138062,4532,Aleksandrów
0204116,1210,30,1,Mycielin,kaliski,Wielkopolskie,125449,4849,Aleksandrów
0281789,1212,30,1,Chodów,kolski,Wielkopolskie,125729,4867,Aleksandrów
0590668,1228,30,1,Nowe Miasto nad Wartą,średzki,Wielkopolskie,141960,5095,Aleksandrów
0292480,1230,30,1,Przykona,turecki,Wielkopolskie,142293,5117,Aleksandrów
0885493,1072,6,1,Aleksandrów,biłgorajski,Lubelskie,156515,3490,Aleksandrów Drugi
0636241,962,14,1,Sienno,lipski,Mazowieckie,98333,2391,Aleksandrów Duży
0985384,1048,4,1,Aleksandrów Kujawski,aleksandrowski,Kujawsko-pomorskie,119432,3256,Aleksandrów Kujawski
0958654,927,10,1,Aleksandrów Łódzki,zgierski,Łódzkie,103869,2005,Aleksandrów Łódzki
0706852,1111,10,1,Łask,łaski,Łódzkie,128720,3902,Aleksandrówek
0284517,1112,10,1,Grabów,łęczycki,Łódzkie,128965,3909,Aleksandrówek
0711422,918,10,1,Poddębice,poddębicki,Łódzkie,101923,1905,Aleksandrówek
0284664,1213,30,1,Grodziec,koniński,Wielkopolskie,125968,4885,Aleksandrówek
0882425,1040,2,1,Wińsko,wołowski,Dolnośląskie,118897,3193,Aleksandrowice
0343504,937,12,1,Zabierzów,krakowski,Małopolskie,104836,2108,Aleksandrowice
0580109,1110,10,1,Żychlin,kutnowski,Łódzkie,128654,3898,Aleksandrówka
0702392,918,10,1,Dalików,poddębicki,Łódzkie,101830,1901,Aleksandrówka
0011593,1071,6,1,Drelów,bialski,Lubelskie,122735,3473,Aleksandrówka
0787916,1075,6,1,Batorz,janowski,Lubelskie,108656,3532,Aleksandrówka
